Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",24.400000,32.250000,-90.000000,top
"C2","100n","C_0402_1005Metric",24.400000,27.150000,-90.000000,top
"C3","100n","C_0402_1005Metric",28.845000,18.775000,0.000000,top
"C4","100n","C_0402_1005Metric",35.340000,18.775000,0.000000,top
"C5","100n","C_0402_1005Metric",40.340000,18.775000,0.000000,top
"C6","100n","C_0402_1005Metric",47.250000,20.480000,180.000000,top
"C7","100n","C_0402_1005Metric",49.300000,27.750000,90.000000,top
"C8","100n","C_0402_1005Metric",48.700000,41.000000,180.000000,top
"C9","100n","C_0402_1005Metric",39.840000,43.710000,180.000000,top
"C10","100n","C_0402_1005Metric",34.840000,43.710000,180.000000,top
"C11","100n","C_0402_1005Metric",27.607500,43.710000,0.000000,top
"C12","1u","C_0402_1005Metric",23.920000,37.500000,0.000000,top
"C13","1u","C_0402_1005Metric",49.300000,33.250000,90.000000,top
"C14","1u","C_0402_1005Metric",23.370000,23.290000,90.000000,top
"C15","100n","C_0402_1005Metric",24.400000,23.290000,90.000000,top
"C16","100n","C_0402_1005Metric",24.390000,25.220000,-90.000000,top
"C17","1u","C_0402_1005Metric",23.370000,25.220000,-90.000000,top
"C18","4u7","C_1206_3216Metric",23.480000,18.800000,0.000000,top
"C19","2u2","C_0805_2012Metric",50.700000,39.950000,-90.000000,top
"C20","2u2","C_0805_2012Metric",45.580000,17.630000,90.000000,top
"C21","1u","C_0402_1005Metric",47.570000,65.080000,180.000000,top
"C22","30p","C_0603_1608Metric",13.820000,25.280000,90.000000,top
"C23","30p","C_0603_1608Metric",13.820000,32.230000,-90.000000,top
"C24","22u","C_0805_2012Metric",84.432500,28.325000,-90.000000,top
"C25","10u","C_1206_3216Metric",79.065000,41.300000,0.000000,top
"C26","100n","C_0402_1005Metric",87.600000,43.530000,90.000000,top
"D1","Red","LED_0603_1608Metric",78.362500,58.010000,0.000000,top
"D2","Blue","LED_0805_2012Metric",54.800000,7.060000,180.000000,top
"D3","Red","LED_0805_2012Metric",10.240000,15.020000,90.000000,top
"D4","Yellow","LED_0805_2012Metric",67.237500,42.130000,180.000000,top
"D5","Emerald","LED_0805_2012Metric",16.242500,54.780000,0.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",25.190000,65.390000,0.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",16.900000,65.390000,0.000000,top
"J3","Conn_02x07_Odd_Even","PinHeader_2x07_P1.27mm_Vertical_SMD",57.620000,63.890000,180.000000,top
"J4","Conn_02x02_Odd_Even","PinSocket_2x02_P2.54mm_Vertical",77.590000,45.405000,-90.000000,top
"J5","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",86.235000,51.280000,90.000000,top
"J6","Conn_02x13_Odd_Even","PinSocket_2x13_P2.54mm_Vertical",66.300000,38.310000,0.000000,top
"J7","Conn_02x14_Odd_Even","PinSocket_2x14_P2.54mm_Vertical",17.120000,9.600000,90.000000,top
"J8","Conn_02x13_Odd_Even","PinSocket_2x13_P2.54mm_Vertical",8.500000,49.410000,0.000000,top
"J9","Conn_02x12_Odd_Even","PinSocket_2x12_P2.54mm_Vertical",49.600000,52.240000,-90.000000,top
"J10","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",75.000000,23.000000,0.000000,top
"J11","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",84.000000,23.000000,0.000000,top
"R1","10k","R_0402_1005Metric",21.940000,63.360000,90.000000,top
"R2","100R","R_0402_1005Metric",21.940000,65.900000,-90.000000,top
"R3","100R","R_0402_1005Metric",13.560000,62.340000,-90.000000,top
"R4","10k","R_0402_1005Metric",13.560000,65.900000,-90.000000,top
"R5","10k","R_0402_1005Metric",47.600000,63.690000,180.000000,top
"R6","100R","R_0402_1005Metric",33.020000,66.250000,180.000000,top
"R7","33R","R_0402_1005Metric",22.460000,28.500000,0.000000,top
"R8","100R","R_0402_1005Metric",63.630000,66.430000,180.000000,top
"R9","100R","R_0402_1005Metric",51.790000,67.700000,0.000000,top
"R10","100R","R_0402_1005Metric",63.630000,67.700000,180.000000,top
"R11","5k1","R_0402_1005Metric",84.800000,43.500000,-90.000000,top
"R12","5k1","R_0402_1005Metric",77.300000,54.600000,90.000000,top
"R13","1k","R_0402_1005Metric",86.200000,43.500000,-90.000000,top
"R14","510R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.500000,58.010000,180.000000,top
"R15","100R","R_0402_1005Metric",77.825000,50.530000,180.000000,top
"R16","100R","R_0402_1005Metric",77.825000,52.030000,180.000000,top
"R17","510R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.737500,3.160000,180.000000,top
"R18","510R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",5.200000,11.990000,180.000000,top
"R19","510R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.600000,42.130000,0.000000,top
"R20","510R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.305000,51.400000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",40.475000,64.000000,0.000000,top
"U1","STM32H723ZGT6","LQFP-144_20x20mm_P0.5mm",36.837500,31.250000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",84.432500,34.965000,-90.000000,top
"Y1","8MHz 20pF","Crystal_SMD_5032-2Pin_5.0x3.2mm",18.080000,28.830000,90.000000,top
